,event,particle_track_id,particle_parent_track_id,particle_pdg_code,particle_mass,particle_charge,particle_process_key,particle_initial_energy,particle_initial_x,particle_initial_y,particle_initial_z,particle_initial_t,particle_final_x,particle_final_y,particle_final_z,particle_final_t,particle_decay_flag,particle_detector_x_tag,particle_detector_y_tag
65,0.0,66.0,39.0,11.0,0.51099891,-1.0,1.0,0.5136136499999999,104.60988679412034,300.0262659065111,142.57979549602337,602.1112194528622,104.6098818187538,300.0262647601145,142.5798029571607,602.1112225551332,0.0,261.0,750.0
66,0.0,67.0,39.0,11.0,0.51099891,-1.0,2.0,0.51104848,104.60988679412034,300.0262659065111,142.57979549602337,602.1112194528622,104.60988680869904,300.02626586381075,142.57979549676082,602.111219560938,0.0,261.0,750.0
67,0.0,68.0,39.0,11.0,0.51099891,-1.0,1.0,0.51121929,104.60988679412034,300.0262659065111,142.57979549602337,602.1112194528622,104.60988666236508,300.026265860962,142.57979567778582,602.1112198523952,0.0,261.0,750.0
68,0.0,69.0,39.0,11.0,0.51099891,-1.0,1.0,0.5112048,104.60988679412034,300.0262659065111,142.57979549602337,602.1112194528622,104.60988700065032,300.02626563491594,142.57979550576522,602.1112198540761,0.0,261.0,750.0
69,0.0,70.0,36.0,11.0,0.51099891,-1.0,1.0,2.151635627515506,91.37559585994798,283.3374355274568,144.13543543131317,601.8406711180304,91.09824324565376,283.3507557017719,144.11576456990986,601.8563424711466,0.0,227.0,708.0
70,0.0,71.0,36.0,11.0,0.51099891,-1.0,2.0,0.5110363299999999,91.37559585994798,283.3374355274568,144.13543543131317,601.8406711180304,91.37559585299738,283.33743548968454,144.13543543918513,601.8406712260958,0.0,228.0,708.0
71,0.0,72.0,36.0,11.0,0.51099891,-1.0,1.0,0.51120265,91.37559585994798,283.3374355274568,144.13543543131317,601.8406711180304,91.3755958322295,283.3374356002341,144.1354356617731,601.8406714581015,0.0,228.0,708.0
72,0.0,73.0,36.0,11.0,0.51099891,-1.0,1.0,0.6411127466206867,91.75609593045463,282.27469526755937,143.72069390628698,601.8807849943613,91.75511417881998,282.2720969997271,143.71394079195142,601.8814774007526,0.0,229.0,705.0
73,0.0,74.0,36.0,11.0,0.51099891,-1.0,2.0,0.5110339899999999,91.75609593045463,282.27469526755937,143.72069390628698,601.8807849943613,91.75609596620544,282.2746954565932,143.72069408118043,601.8807851024347,0.0,229.0,705.0
74,0.0,75.0,36.0,11.0,0.51099891,-1.0,1.0,0.51121929,91.75609593045463,282.27469526755937,143.72069390628698,601.8807849943613,91.7560959845714,282.27469562807994,143.72069391050377,601.8807854085767,0.0,229.0,705.0
