Unnamed: 0.1,event,particle_track_id,particle_parent_track_id,particle_pdg_code,particle_mass,particle_charge,particle_process_key,particle_initial_energy,particle_initial_x,particle_initial_y,particle_initial_z,particle_initial_t,particle_final_x,particle_final_y,particle_final_z,particle_final_t,particle_final_kinetic_energy,particle_final_momentum,particle_decay_flag,particle_detector_x_tag,particle_detector_y_tag,Unnamed: 0
564620,568.0,2.0,0.0,321.0,493.6,1.0,20.0,568.0186581968272,115.0,300.0,180.0,0.0,111.30065032269104,294.7406417630443,183.65278454100857,56.18344240939746,0.0,0.0,1.0,278.0,736.0,1.0
566590,569.0,2.0,0.0,321.0,493.59999999999985,1.0,20.0,622.2437343691204,115.0,300.0,180.0,0.0,108.64296738487651,311.53894333841845,193.67384989710405,9.936893122880544,0.0,0.0,1.0,271.0,778.0,1.0
566849,570.0,2.0,0.0,321.0,493.6,1.0,20.0,510.2466506117552,115.0,300.0,180.0,0.0,115.05542104527242,300.41009914335336,180.3408855286661,28.022324804369564,0.0,0.0,1.0,287.0,751.0,1.0
568325,571.0,2.0,0.0,321.0,493.60000000000014,1.0,20.0,583.0998782256495,115.0,300.0,180.0,0.0,121.49776594971264,300.5753066205779,188.10944904237311,4.216253876030507,0.0,0.0,1.0,303.0,751.0,1.0
568602,572.0,2.0,0.0,321.0,493.6,1.0,20.0,534.6571424919132,115.0,300.0,180.0,0.0,112.99114313131356,301.1492335900708,178.6849881043342,13.19796208895797,0.0,0.0,1.0,282.0,752.0,1.0
569533,573.0,2.0,0.0,321.0,493.60000000000014,1.0,20.0,655.0393006999174,115.0,300.0,180.0,0.0,92.96586722830943,290.92453717040377,195.31976274403752,13.81523558861815,0.0,0.0,1.0,232.0,727.0,1.0
569704,574.0,2.0,0.0,321.0,493.5999999999998,1.0,20.0,601.6203188133312,115.0,300.0,180.0,0.0,116.16570587354602,313.85766873933187,182.66304437762727,9.832169793882384,0.0,0.0,1.0,290.0,784.0,1.0
571226,575.0,2.0,0.0,321.0,493.6,1.0,20.0,671.8138910183021,115.0,300.0,180.0,0.0,121.817302037036,294.91464791541256,211.07902904723596,6.759499759447664,0.0,0.0,1.0,304.0,737.0,1.0
571548,576.0,2.0,0.0,321.0,493.6,1.0,20.0,516.109487610304,115.0,300.0,180.0,0.0,114.41590573590884,300.6372736537839,180.28843385179457,18.787470432553295,0.0,0.0,1.0,286.0,751.0,1.0
572930,577.0,2.0,0.0,321.0,493.6000000000001,1.0,20.0,590.3938597589257,115.0,300.0,180.0,0.0,119.23809301536124,296.3701143080406,172.74868299306664,0.6384441058293953,37.26295759100572,195.3830078135505,1.0,298.0,740.0,1.0
573147,578.0,2.0,0.0,321.0,493.59999999999985,1.0,20.0,602.1565053533614,115.0,300.0,180.0,0.0,115.68036519143058,314.10891579338505,175.7100864101622,10.106797039898815,0.0,0.0,1.0,289.0,785.0,1.0
573329,579.0,5.0,2.0,321.0,493.677,1.0,20.0,521.4765675538332,117.72730555271389,292.35734284226174,182.87207749637673,0.5701638502661399,118.76314327610956,292.05631961958255,183.65227915983897,7.850199928435183,0.0,0.0,1.0,296.0,730.0,4.0
573875,580.0,2.0,0.0,321.0,493.6,1.0,20.0,583.2505146033697,115.0,300.0,180.0,0.0,107.1109452537648,299.433055621154,173.464952896762,2.964488558182688,0.0,0.0,1.0,267.0,748.0,1.0
574881,581.0,2.0,0.0,321.0,493.6,1.0,20.0,501.7853255902059,115.0,300.0,180.0,0.0,114.95765863359097,300.1371334009952,179.94565568421783,12.023421724642125,0.0,0.0,1.0,287.0,750.0,1.0
575335,582.0,2.0,0.0,321.0,493.5999999999999,1.0,20.0,524.2586873634184,115.0,300.0,180.0,0.0,116.4656016127644,300.2585493093673,179.52953675485642,10.824618870155136,0.0,0.0,1.0,291.0,750.0,1.0
575537,583.0,2.0,0.0,321.0,493.59999999999985,1.0,20.0,562.3428792103128,115.0,300.0,180.0,0.0,114.5507788908345,295.70988175738904,184.9834228800541,24.545865617707506,0.0,0.0,1.0,286.0,739.0,1.0
575781,584.0,3.0,2.0,321.0,493.677,1.0,20.0,514.3772656642409,116.89545348019897,288.8257197839767,184.13829244990944,0.8282393736068674,117.61481033627832,288.63519419339576,184.44747739669685,12.608289335356751,0.0,0.0,1.0,294.0,721.0,2.0
577660,585.0,2.0,0.0,321.0,493.6,1.0,20.0,618.6602124756523,115.0,300.0,180.0,0.0,104.14910547389948,308.28090230504694,191.9353697656174,6.96425492166791,0.0,0.0,1.0,260.0,770.0,1.0
579229,586.0,2.0,0.0,321.0,493.5999999999998,1.0,20.0,615.9163196475421,115.0,300.0,180.0,0.0,120.86880443161392,288.99492129023207,167.8198302669702,4.540321444811932,0.0,0.0,1.0,302.0,722.0,1.0
580411,587.0,2.0,0.0,321.0,493.6,1.0,20.0,542.9788187800331,115.0,300.0,180.0,0.0,114.2040082519392,301.7593879009272,176.9072574068268,10.346457757784863,0.0,0.0,1.0,285.0,754.0,1.0
581848,588.0,2.0,0.0,321.0,493.6,1.0,20.0,620.6822098342601,115.0,300.0,180.0,0.0,109.8029566657588,293.1617295052903,163.18565088629651,11.20805787061384,0.0,0.0,1.0,274.0,732.0,1.0
582083,589.0,2.0,0.0,321.0,493.6,1.0,20.0,547.522342354291,115.0,300.0,180.0,0.0,116.50466873042578,296.915932981272,177.2319343895507,2.2845665628089304,0.0,0.0,1.0,291.0,742.0,1.0
582249,590.0,2.0,0.0,321.0,493.60000000000014,1.0,20.0,574.8983026998045,115.0,300.0,180.0,0.0,122.66688711337774,299.08025730214945,175.76417535305907,10.049221305257293,0.0,0.0,1.0,306.0,747.0,1.0
582514,591.0,2.0,0.0,321.0,493.6000000000001,1.0,20.0,622.0197108294172,115.0,300.0,180.0,0.0,114.11313592569456,309.88444128888074,196.3847061104289,2.2394695057179534,0.0,0.0,1.0,285.0,774.0,1.0
582663,592.0,2.0,0.0,321.0,493.6,1.0,20.0,536.522551279346,115.0,300.0,180.0,0.0,115.47251038871131,299.84027154697736,180.11095388603755,0.0440470331229836,38.31237169872605,198.2165764162112,1.0,288.0,749.0,1.0
583252,593.0,2.0,0.0,321.0,493.60000000000014,1.0,20.0,602.9393283830896,115.0,300.0,180.0,0.0,113.6883058615119,285.92919346368933,176.66346564957706,16.51766569055296,0.0,0.0,1.0,284.0,714.0,1.0
