event,ParticleID,kaon_category,particle_parent_track_id,particle_process_key,particle_final_kinetic_energy,particle_decay_flag,track_length_cm
232,2,primary kaon,0,20,0.0,1,27.651570316723596
233,2,primary kaon,0,20,0.0,1,10.867955288719855
234,2,primary kaon,0,20,0.0,1,5.71651240776312
235,2,primary kaon,0,20,0.0,1,39.48979056032537
236,2,primary kaon,0,20,0.0,1,10.163916422862044
237,2,primary kaon,0,20,0.0,1,5.844228919339662
238,2,primary kaon,0,20,0.0,1,8.201449896763416
239,2,primary kaon,0,20,37.15272317606763,1,14.330312153783606
240,2,primary kaon,0,20,0.0,1,6.856198167259426
241,2,primary kaon,0,20,0.0,1,4.006064490184494
242,14,daughter kaon,2,20,0.0,1,0.010795659515638996
242,2,primary kaon,0,-2,0.0,0,19.950937891211403
243,2,primary kaon,0,20,0.0,1,20.486691204549327
244,2,primary kaon,0,20,0.0,1,17.403603315592076
245,2,primary kaon,0,20,0.0,1,5.775665910652148
246,2,primary kaon,0,20,0.0,1,5.694104665114678
247,2,primary kaon,0,20,0.0,1,9.422675290935352
248,2,primary kaon,0,20,0.0,1,21.285756025717465
249,2,primary kaon,0,20,0.0,1,18.713928155373917
250,2,primary kaon,0,20,0.0,1,4.332661884405417
251,2,primary kaon,0,20,87.84678301504927,1,3.0089737508890617
252,2,primary kaon,0,20,0.0,1,17.6885345008726
253,2,primary kaon,0,20,0.0,1,20.33222958276334
254,2,primary kaon,0,20,0.0,1,14.143024775901852
255,2,primary kaon,0,20,0.0,1,20.267894804882488
256,2,primary kaon,0,20,0.0,1,17.800216189815657
257,2,primary kaon,0,20,0.0,1,4.621030394107395
258,2,primary kaon,0,20,0.0,1,11.789157527394066
259,2,primary kaon,0,20,0.0,1,15.077352787822642
260,2,primary kaon,0,20,121.2970465714452,1,2.987670844078119
261,2,primary kaon,0,20,0.0,1,24.910968896892882
262,2,primary kaon,0,20,0.0,1,2.5251471707249658
263,2,primary kaon,0,20,0.0,1,0.34615514669361375
264,2,primary kaon,0,20,0.0,1,6.880526778066354
265,2,primary kaon,0,20,63.148009266935055,1,1.075261894039611
266,2,primary kaon,0,20,0.0,1,11.758664867642702
267,2,primary kaon,0,20,0.0,1,7.82821008759811
268,2,primary kaon,0,20,0.0,1,6.9541583002903815
269,2,primary kaon,0,20,0.0,1,0.2325000399925904
270,2,primary kaon,0,20,0.0,1,13.729643851621486
271,2,primary kaon,0,20,0.0,1,8.777538281163192
