event,ParticleID,PDG,kaon_category,particle_parent_track_id,particle_process_key,particle_final_kinetic_energy,particle_decay_flag,range_bin_index,energy_MeV,path_length_cm,weighted_residual_range_cm,range_bin_low_cm,range_bin_high_cm,track_length_cm,n_steps,residual_range_cm,range_bin_width_cm,dEdx_MeV_per_cm
4,2,321,primary kaon,0,20,0.0,1,0,6.074324133266096,0.09323301407055438,0.004346197456340045,0.0,0.1,25.119748791859717,11,0.04661650703527665,0.1,65.15207294134385
4,2,321,primary kaon,0,20,0.0,1,1,3.110635169473399,0.09452790580905175,0.01328088406067792,0.1,0.2,25.119748791859717,4,0.1404969669750811,0.1,32.9070568405159
4,2,321,primary kaon,0,20,0.0,1,2,2.5003314353563115,0.10231056758176249,0.024443652402007552,0.2,0.30000000000000004,25.119748791859717,3,0.23891620367048758,0.10000000000000003,24.438642991186097
4,2,321,primary kaon,0,20,0.0,1,3,1.84892140254362,0.08814343780345865,0.02945253092751391,0.30000000000000004,0.4,25.119748791859717,2,0.33414320636309724,0.09999999999999998,20.976279671168786
4,2,321,primary kaon,0,20,0.0,1,4,1.9970041366183677,0.10769707218567542,0.04653196978662948,0.4,0.5,25.119748791859717,2,0.4320634613576673,0.09999999999999998,18.542789475051165
4,2,321,primary kaon,0,20,0.0,1,5,2.3972343854035354,0.1334888915281214,0.07377349600058614,0.5,0.6,25.119748791859717,2,0.5526564432145626,0.09999999999999998,17.958306177847934
4,2,321,primary kaon,0,20,0.0,1,6,1.1575750736119932,0.07763040329341107,0.05109758056945683,0.6,0.7,25.119748791859717,1,0.6582160906253307,0.09999999999999998,14.911362359368846
4,2,321,primary kaon,0,20,0.0,1,7,1.1799890078876376,0.08538297690526248,0.06315973310291098,0.7,0.8049999999999999,25.119748791859717,1,0.7397227807246693,0.10499999999999998,13.819956280007736
4,2,321,primary kaon,0,20,0.0,1,8,1.3314114923032685,0.0945518800033847,0.07844876909827518,0.8049999999999999,0.92575,25.119748791859717,1,0.8296902091789917,0.12075000000000002,14.08127995186989
4,2,321,primary kaon,0,20,0.0,1,9,1.5066797199539477,0.1054163006609614,0.09800282547403742,0.92575,1.0646125,25.119748791859717,1,0.9296742995111629,0.1388625,14.29266356822473
5,2,321,primary kaon,0,20,0.0,1,-5,10.826012348624362,0.9780315625480536,1.4431796957713097,,,5.889868141020253,6,1.4755962394622637,,11.069185047995266
5,2,321,primary kaon,0,20,0.0,1,-4,7.656328465261188,0.7774021122748771,1.8294705568057272,,,5.889868141020253,3,2.353313076873729,,9.848607746712723
5,2,321,primary kaon,0,20,0.0,1,-3,8.448585424948535,1.0802470663115205,3.5455195851073644,,,5.889868141020253,3,3.282137666166928,,7.82097511617971
5,2,321,primary kaon,0,20,0.0,1,-2,6.566610820359265,0.929708225994599,3.9857663716512977,,,5.889868141020253,2,4.2871153123199885,,7.063087791155472
5,2,321,primary kaon,0,20,0.0,1,-1,7.134544990680292,1.137898715702966,6.054666649727532,,,5.889868141020253,2,5.32091878316877,,6.269929732957598
5,2,321,primary kaon,0,20,0.0,1,0,6.638623261293751,0.10677699264808299,0.00570066307948438,0.0,0.1,5.889868141020253,10,0.053388496324041454,0.1,62.17278738289073
5,2,321,primary kaon,0,20,0.0,1,1,3.1655885589785484,0.10302102422140744,0.016306940861701077,0.1,0.2,5.889868141020253,4,0.1582875047587864,0.1,30.727597428804724
5,2,321,primary kaon,0,20,0.0,1,2,1.6758211256591247,0.07006166250238612,0.017153116127879245,0.2,0.30000000000000004,5.889868141020253,2,0.24482884812068303,0.10000000000000003,23.91923151412587
5,2,321,primary kaon,0,20,0.0,1,3,2.9338981495840186,0.1372228174704509,0.047818184517050236,0.30000000000000004,0.4,5.889868141020253,3,0.34847108810710176,0.09999999999999998,21.3805415430695
5,2,321,primary kaon,0,20,0.0,1,4,1.183445572871012,0.05687729396091885,0.02534003706301345,0.4,0.5,5.889868141020253,1,0.44552114382278685,0.09999999999999998,20.806995031869366
5,2,321,primary kaon,0,20,0.0,1,5,2.3439651355915947,0.13362859254186926,0.07226288013883711,0.5,0.6,5.889868141020253,2,0.5407740870741814,0.09999999999999998,17.540895185715364
5,2,321,primary kaon,0,20,0.0,1,6,1.430056973244613,0.07947262643727432,0.051444593793633066,0.6,0.7,5.889868141020253,1,0.6473246965637527,0.09999999999999998,17.994333865048738
5,2,321,primary kaon,0,20,0.0,1,7,1.46717881791786,0.08927169263350695,0.06531981683858606,0.7,0.8049999999999999,5.889868141020253,1,0.731696856099143,0.10499999999999998,16.434983751693466
5,2,321,primary kaon,0,20,0.0,1,8,1.4374591382310176,0.09939467615170237,0.08210298836625489,0.8049999999999999,0.92575,5.889868141020253,1,0.826030040491748,0.12075000000000002,14.462134129166813
5,2,321,primary kaon,0,20,0.0,1,9,1.546516058495064,0.11085307962063772,0.10322127945301612,0.92575,1.0646125,5.889868141020253,1,0.9311539183779178,0.1388625,13.951042801765755
6,2,321,primary kaon,0,20,0.0,1,-20,8.915462442699031,0.78972832706994,1.134285486708609,,,20.86600800988412,5,1.4362983418830235,,11.289277764389295
6,2,321,primary kaon,0,20,0.0,1,-19,9.346812977136745,1.006404062434829,2.349313952873672,,,20.86600800988412,4,2.3343645366354084,,9.287336295646174
6,2,321,primary kaon,0,20,0.0,1,-18,8.136036178418976,1.0683032283965725,3.602017419128623,,,20.86600800988412,3,3.3717181820511097,,7.615849098041609
6,2,321,primary kaon,0,20,0.0,1,-17,6.938636318017269,0.9310442222823134,4.069959178707636,,,20.86600800988412,2,4.371391907390553,,7.452531417904358
6,2,321,primary kaon,0,20,0.0,1,-16,7.384021698174344,1.149621851966949,6.22143725304928,,,20.86600800988412,2,5.411724944515184,,6.4230004723210765
